trade_date,gross_ret,net_ret,turnover,n_positions,cap_hit_ratio
2023-07-07,-0.00566602477506455,-0.00579102477506455,0.25,1,1.0
2023-07-08,0.00137460250994995,0.0012496025099499502,0.25,1,1.0
2023-07-09,-0.001023594861732375,-0.001023594861732375,0.0,1,1.0
2023-07-12,-0.000801114211048025,-0.000801114211048025,0.0,1,1.0
2023-07-13,-0.0011332816963847,-0.0012582816963846999,0.25,1,1.0
2023-07-14,0.0001006939553681,0.0001006939553681,0.0,1,1.0
2023-07-15,0.000725889988141525,0.0006008899881415249,0.25,1,1.0
2023-07-16,0.001584043361495625,0.001584043361495625,0.0,1,1.0
2023-07-19,0.005247595625540925,0.005247595625540925,0.0,1,1.0
2023-07-20,-6.1281439627375e-05,-6.1281439627375e-05,0.0,1,1.0
2023-07-21,0.002836450846269425,0.002836450846269425,0.0,1,1.0
2023-07-22,0.005400196470945175,0.005400196470945175,0.0,1,1.0
2023-07-23,0.00438765188743805,0.00438765188743805,0.0,1,1.0
2023-07-26,-0.0009858832887565,-0.0009858832887565,0.0,1,1.0
2023-07-27,0.004349760469001225,0.004224760469001225,0.25,1,1.0
2023-07-28,-0.0035162779406188,-0.0035162779406188,0.0,1,1.0
2023-07-29,-0.000275136405996075,-0.000275136405996075,0.0,1,1.0
2023-07-30,0.001973047475551825,0.001973047475551825,0.0,1,1.0
2023-08-02,0.0006297510826333,0.0005047510826333,0.25,1,1.0
2023-08-03,6.7126349586175e-05,-5.7873650413825005e-05,0.25,1,1.0
2023-08-04,-0.003809608316943675,-0.003934608316943675,0.25,1,1.0
2023-08-05,0.007415576558856875,0.007290576558856875,0.25,1,1.0
2023-08-06,0.00447038974333545,0.00447038974333545,0.0,1,1.0
2023-08-09,0.00172361533334735,0.00159861533334735,0.25,1,1.0
2023-08-10,-0.00117345545987915,-0.00117345545987915,0.0,1,1.0
2023-08-11,0.00109644065713985,0.0009714406571398501,0.25,1,1.0
2023-08-12,0.0013077614911586,0.0013077614911586,0.0,1,1.0
2023-08-13,-0.004683502213424025,-0.004808502213424025,0.25,1,1.0
2023-08-16,0.002826395181638675,0.002826395181638675,0.0,1,1.0
2023-08-17,-0.000551162525335725,-0.000551162525335725,0.0,1,1.0
2023-08-18,4.7048695034675e-05,4.7048695034675e-05,0.0,1,1.0
2023-08-19,0.00153573088734725,0.00153573088734725,0.0,1,1.0
2023-08-20,0.00466462430874425,0.00466462430874425,0.0,1,1.0
2023-08-23,-0.0040486133958091,-0.0040486133958091,0.0,1,1.0
2023-08-24,-0.00064700331713615,-0.00064700331713615,0.0,1,1.0
2023-08-25,-0.0018200050326917,-0.0018200050326917,0.0,1,1.0
2023-08-26,0.00018956271171705,0.00018956271171705,0.0,1,1.0
2023-08-27,0.00461519922112985,0.00461519922112985,0.0,1,1.0
2023-08-30,-0.00356423818913145,-0.00356423818913145,0.0,1,1.0
2023-08-31,0.0022677669442005,0.0022677669442005,0.0,1,1.0
2023-09-01,-0.002052978972570575,-0.002052978972570575,0.0,1,1.0
2023-09-02,-0.0006349661076371,-0.0006349661076371,0.0,1,1.0
2023-09-03,0.000613513291273325,0.000613513291273325,0.0,1,1.0
2023-09-06,0.0015027375305584,0.0015027375305584,0.0,1,1.0
2023-09-07,-0.001232911047222225,-0.001232911047222225,0.0,1,1.0
2023-09-08,0.003175062412126725,0.003175062412126725,0.0,1,1.0
2023-09-09,0.0001157471124723,0.0001157471124723,0.0,1,1.0
2023-09-10,-0.0020211332854467,-0.0020211332854467,0.0,1,1.0
2023-09-13,0.00190332944372255,0.00190332944372255,0.0,1,1.0
2023-09-14,0.0002930297367064,0.0002930297367064,0.0,1,1.0
2023-09-15,-0.001088652240564325,-0.001088652240564325,0.0,1,1.0
2023-09-16,0.0032758855443668,0.0032758855443668,0.0,1,1.0
2023-09-17,-0.0012414818089563,-0.0012414818089563,0.0,1,1.0
2023-09-20,-0.0003841291990674,-0.0003841291990674,0.0,1,1.0
2023-09-21,0.000294352168834325,0.000294352168834325,0.0,1,1.0
2023-09-22,-0.001915817889948925,-0.001915817889948925,0.0,1,1.0
2023-09-23,-0.00283710234977095,-0.00283710234977095,0.0,1,1.0
2023-10-04,-0.0004937007017506,-0.0004937007017506,0.0,1,1.0
2023-10-05,0.0008353466441236,0.0008353466441236,0.0,1,1.0
