cap_weight,pos_alpha,max_to,rebalance_every,gamma,topk,sharpe_net,ann_ret_net,mdd_net,turnover_mean
0.35,0.4,0.1,5,0.5,3,2.528839130867237,0.41153767419246523,-0.06252082233048017,0.019981362833485374
0.35,0.25,0.5,5,1.5,3,2.528435406833666,0.408776716281507,-0.06315934150059321,0.013908479139159666
0.35,0.25,0.3,5,1.5,3,2.528435406833666,0.408776716281507,-0.06315934150059321,0.013908479139159666
0.15,0.6,0.3,5,0.5,3,2.527686800829641,0.4140664411305641,-0.0569098487680707,0.009143374936133897
0.15,0.6,0.5,5,0.5,3,2.527686800829641,0.4140664411305641,-0.0569098487680707,0.009143374936133897
0.35,0.4,0.5,5,1.0,1,2.5268651858673934,0.39424253895033323,-0.04091415602963122,0.023846589899235614
0.15,0.6,0.5,5,1.5,3,2.5260762453089654,0.41321075232609794,-0.0569098487680707,0.009229692463605511
0.15,0.6,0.3,5,1.5,3,2.5260762453089654,0.41321075232609794,-0.0569098487680707,0.009229692463605511
0.35,0.4,0.5,5,1.5,3,2.525681867091436,0.40785628227497006,-0.06234506367564574,0.02155157277115619
0.35,0.4,0.3,5,1.5,3,2.525681867091436,0.40785628227497006,-0.06234506367564574,0.02155157277115619
0.25,0.4,0.1,1,1.0,3,2.5256455095405586,0.4042764065005806,-0.06127154429644999,0.04813475424448688
0.15,0.6,0.1,5,0.5,3,2.5245571900351544,0.413134858460124,-0.05779753531906795,0.00909049621068147
0.25,0.4,0.1,1,0.5,3,2.524271862279703,0.4028692265625491,-0.06127154429644999,0.048075635876045665
0.15,0.4,0.1,1,0.5,3,2.5236508159307127,0.411024273407701,-0.062468635683931684,0.0035555555555555553
0.15,0.4,0.1,1,1.5,3,2.5236508159307127,0.411024273407701,-0.062468635683931684,0.0035555555555555553
0.15,0.25,0.1,1,1.0,3,2.5236508159307127,0.411024273407701,-0.062468635683931684,0.0035555555555555553
0.15,0.25,0.1,1,0.5,3,2.5236508159307127,0.411024273407701,-0.062468635683931684,0.0035555555555555553
0.15,0.4,0.1,1,1.0,3,2.5236508159307127,0.411024273407701,-0.062468635683931684,0.0035555555555555553
0.15,0.25,0.1,1,1.5,3,2.5236508159307127,0.411024273407701,-0.062468635683931684,0.0035555555555555553
0.15,0.6,0.1,5,1.5,3,2.5229337662310654,0.4122763128024918,-0.05779753531906795,0.009175511380345145
0.35,0.25,0.3,5,1.5,2,2.522003872409124,0.4289978532810801,-0.06718349032774196,0.015357723137703803
0.25,0.6,0.1,5,1.5,3,2.5210986562182343,0.411006147050909,-0.059374532172510874,0.0073432655944949965
0.25,0.4,0.1,1,1.5,3,2.518833970878254,0.40392216499146416,-0.06127154429644999,0.04795387360572533
0.15,0.6,0.1,1,1.0,3,2.518397901648254,0.40508371547301225,-0.062178481192345814,0.02804899188287735
0.15,0.25,0.5,1,1.5,3,2.518335815788617,0.40946495640447145,-0.06276118718577839,0.003555555555555556
0.15,0.25,0.5,1,1.0,3,2.518335815788617,0.40946495640447145,-0.06276118718577839,0.003555555555555556
0.15,0.25,0.5,1,0.5,3,2.518335815788617,0.40946495640447145,-0.06276118718577839,0.003555555555555556
0.15,0.25,0.3,1,1.0,3,2.518335815788617,0.40946495640447145,-0.06276118718577839,0.003555555555555556
0.15,0.25,0.3,1,1.5,3,2.518335815788617,0.40946495640447145,-0.06276118718577839,0.003555555555555556
0.15,0.25,0.3,1,0.5,3,2.518335815788617,0.40946495640447145,-0.06276118718577839,0.003555555555555556
0.35,0.4,0.1,5,1.0,3,2.5178306807394297,0.40667053528185915,-0.06252082233048017,0.020330951444679408
0.35,0.4,0.1,5,1.5,2,2.5176858139715774,0.42864706109899275,-0.06718349032774196,0.01645654943843203
0.25,0.6,0.3,5,1.0,1,2.5166708934380964,0.3968538229560563,-0.04142597582131857,0.02758592658946743
0.35,0.25,0.3,5,0.5,2,2.5165885368415983,0.4374091509927227,-0.06718349032774196,0.01630746499880458
0.35,0.25,0.5,5,1.5,2,2.5160835709209706,0.42773807003100695,-0.06718349032774196,0.015357723137703803
