ticker,trade_date,alpha_score
300344.SZ,2025-06-17,0.002422594753794266
300391.SZ,2025-06-17,0.0024224052217985946
688125.SH,2025-06-17,0.0024224443071632286
688627.SH,2025-06-17,0.0024224536430607836
688679.SH,2025-06-17,0.0024224496671518625
920023.SH,2025-06-17,0.0024224417119460364
300086.SZ,2025-06-18,0.0024224615104119825
300189.SZ,2025-06-18,0.002422475619519058
300236.SZ,2025-06-18,0.0024224565238262817
300321.SZ,2025-06-18,0.0024226019511757496
300344.SZ,2025-06-18,0.00242245794488133
300391.SZ,2025-06-18,0.002422432128771732
688125.SH,2025-06-18,0.0024224445917425713
688627.SH,2025-06-18,0.0024224524101337827
688679.SH,2025-06-18,0.0024224845187042184
920023.SH,2025-06-18,0.0024224564347966743
300086.SZ,2025-06-19,0.002422470361679319
300189.SZ,2025-06-19,0.0024224604758251687
300236.SZ,2025-06-19,0.002422456626753631
300321.SZ,2025-06-19,0.002422567984363289
300344.SZ,2025-06-19,0.0024224549631898422
300391.SZ,2025-06-19,0.0024224305449876923
688125.SH,2025-06-19,0.002422563274004838
688627.SH,2025-06-19,0.0024229014134965177
688679.SH,2025-06-19,0.0024224494802975722
920023.SH,2025-06-19,0.0024224480820551715
300086.SZ,2025-06-20,0.0024224836665415594
300189.SZ,2025-06-20,0.002422471778606492
300236.SZ,2025-06-20,0.0024224474624522634
300321.SZ,2025-06-20,0.0024224676644755885
300344.SZ,2025-06-20,0.0024224518346755925
300391.SZ,2025-06-20,0.0024224541665651663
688125.SH,2025-06-20,0.0024224345006538628
688627.SH,2025-06-20,0.002422461464016902
688679.SH,2025-06-20,0.0024224502124291806
920023.SH,2025-06-20,0.002422455947793333
300086.SZ,2025-06-23,0.00242245605267994
300189.SZ,2025-06-23,0.00242244096748965
300236.SZ,2025-06-23,0.002422563291345141
300321.SZ,2025-06-23,0.0024224732098444444
300344.SZ,2025-06-23,0.002422449553153673
300391.SZ,2025-06-23,0.002422444220386265
688125.SH,2025-06-23,0.0024224360614181445
688627.SH,2025-06-23,0.002422649115584559
688679.SH,2025-06-23,0.002422476817133541
920023.SH,2025-06-23,0.0024224591066092666
300086.SZ,2025-06-24,0.0024225056174117785
300189.SZ,2025-06-24,0.0024224798864110157
300236.SZ,2025-06-24,0.00242255124040551
300321.SZ,2025-06-24,0.0024225103019096324
300344.SZ,2025-06-24,0.002422584299314138
300391.SZ,2025-06-24,0.0024225839211592134
688125.SH,2025-06-24,0.0024225599752651875
688627.SH,2025-06-24,0.00242252044699622
688679.SH,2025-06-24,0.0024225750801624103
920023.SH,2025-06-24,0.002422459980460991
300086.SZ,2025-06-25,0.0024225399837862725
300189.SZ,2025-06-25,0.0024224454243197734
300236.SZ,2025-06-25,0.002422473858223655
300321.SZ,2025-06-25,0.002422461961770673
300344.SZ,2025-06-25,0.0024228002826431772
300391.SZ,2025-06-25,0.0024224529637099593
688125.SH,2025-06-25,0.0024225434902387494
688627.SH,2025-06-25,0.002422574453077969
688679.SH,2025-06-25,0.002422560391298481
920023.SH,2025-06-25,0.002422550398287386
300086.SZ,2025-06-26,0.0024224608639562186
300189.SZ,2025-06-26,0.002422447330552765
300236.SZ,2025-06-26,0.002422450623039688
300321.SZ,2025-06-26,0.0024224626813790966
300344.SZ,2025-06-26,0.0024225972408228975
300391.SZ,2025-06-26,0.002422450628253347
688125.SH,2025-06-26,0.002422439584435827
688627.SH,2025-06-26,0.0024225585196834547
688679.SH,2025-06-26,0.002422439616414529
920023.SH,2025-06-26,0.002422612496615083
300086.SZ,2025-06-27,0.0024224662260844136
300189.SZ,2025-06-27,0.0024224452185359394
300236.SZ,2025-06-27,0.002422461373950102
300321.SZ,2025-06-27,0.0024224588639592502
300344.SZ,2025-06-27,0.0024228015864261893
300391.SZ,2025-06-27,0.00242246333894476
688125.SH,2025-06-27,0.002422439206231083
688627.SH,2025-06-27,0.0024224882622378694
688679.SH,2025-06-27,0.002422455682167632
920023.SH,2025-06-27,0.0024224470500579516
300086.SZ,2025-06-30,0.002422465644979075
300189.SZ,2025-06-30,0.0024224553537768355
300236.SZ,2025-06-30,0.0024224500170508204
300321.SZ,2025-06-30,0.0024224540290468067
300344.SZ,2025-06-30,0.0024223956755571536
300391.SZ,2025-06-30,0.0024224518537764987
